what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440140662621
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1440140665238
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440140668702
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440140675404
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1440140679597
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1440140681264
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1440140681310
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1440140683035
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440140683522
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440140683682
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440140688994
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440140693554
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1440140694276
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1440140694833
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1440140695881
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1440140695927
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1440140697638
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440140698281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440140698444
